Permissible Stress   (MPa) in Axial Compression for Steel with Various Yeild Stress																	
																	
   Fy =	220	230	240	250	260	280	300	320	340	360	380	400	420	450	480	510	540
λ																	

10	132	138	144	150	156	168	180	192	204	215	227	239	251	269	287	305	323
20	131	137	142	148	154	166	177	189	201	212	224	235	246	263	280	297	314
30	128	134	140	145	151	162	172	183	194	204	215	225	236	251	266	280	295
40	124	129	134	139	145	154	164	174	183	192	201	210	218	231	243	255	267
50	118	123	127	132	136	145	153	161	168	176	183	190	197	207	216	225	233
60	111	115	118	122	126	133	139	146	152	158	163	168	173	180	187	193	199
70	102	106	109	112	115	120	125	130	135	139	142	147	150	155	160	164	168
80	93	96	98	101	103	107	111	115	118	121	124	127	129	133	136	139	141
90	85	87	88	90	92	95	98	101	103	105	108	109	111	114	116	118	119
100	76	78	79	80	82	84	86	88	90	92	93	94	96	97	99	100	101
110	68	69	71	72	73	74	76	77	79	80	81	82	83	84	85	86	87
120	61	62	63	64	64	66	67	67	69	70	71	71	72	73	73	74	75
130	55	55	56	57	57	58	59	60	61	61	62	62	63	63	64	64	65
140	49	50	50	51	51	52	53	53	54	54	54	55	55	56	56	56	57
150	44	45	45	45	46	46	47	47	48	48	48	49	49	49	49	50	50
160	40	40	41	41	41	42	42	42	43	43	43	43	43	44	44	44	44
170	36	36	37	37	36	37	38	38	38	38	39	39	39	39	39	39	39
180	33	33	33	33	33	34	34	34	34	35	35	35	35	35	35	35	35
190	30	30	30	30	30	30	31	31	31	31	31	31	32	32	32	32	32
200	27	27	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
210	25	25	25	25	25	25	26	26	26	26	26	26	26	26	26	26	26
220	23	23	23	23	23	23	23	24	24	24	24	24	24	24	24	24	24
230	21	21	21	21	21	21	22	21	22	22	22	22	22	22	22	22	22
240	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
250	18	18	18	18	18	18	18	18	18	19	19	19	19	19	19	19	19


