	Section	Mass	Depth	Width	Area	Thickness		Root	Depth	Radius for		Second Moment	
	Designation	per	of	of	of Section			Radius	between	Local Buckling		of Area	
	Serial Size	Metre	Section	Section		Web	Flange		Fillets	Flange	Web	Axis	Axis
												x-x	y-y
			D	B	A 	t	T	r	d	b / T	d / t		
		kg/m	mm	mm	cm2	mm	mm	mm	mm			cm4	cm4
UKB	1016x305x487	486.7	1036.3	308.5	620	30	54.1	30	868.1	2.85	28.9	1021884	26721
UKB	1016x305x437	437	1026.1	305.4	557	26.9	49	30	868.1	3.12	32.3	910322	23447
UKB	1016x305x393	392.7	1015.9	303	500	24.4	43.9	30	868.1	3.45	35.6	807503	20496
UKB	1016x305x349	349.4	1008.1	302	445	21.1	40	30	868.1	3.78	41.1	723131	18460
UKB	1016x305x314	314.3	999.9	300	400	19.1	35.9	30	868.1	4.18	45.5	644063	16232
UKB	1016x305x272	272.3	990.1	300	347	16.5	31	30	868.1	4.84	52.6	553974	14004
UKB	1016x305x249	248.7	980.1	300	317	16.5	26	30	868.1	5.77	52.6	481192	11754
UKB	1016x305x222	222	970.3	300	283	16	21.1	30	868.1	7.11	54.3	407961	9546
UKB	914x419x388	388	921	420.5	494	21.4	36.6	24.1	799.6	5.74	37.4	719635	45438
UKB	914x419x343	343.3	911.8	418.5	437	19.4	32	24.1	799.6	6.54	41.2	625780	39156
UKB	914x305x289	289.1	926.6	307.7	368	19.5	32	19.1	824.4	4.81	42.3	504187	15597
UKB	914x305x253	253.4	918.4	305.5	323	17.3	27.9	19.1	824.4	5.47	47.7	436305	13301
UKB	914x305x224	224.2	910.4	304.1	286	15.9	23.9	19.1	824.4	6.36	51.8	376414	11236
UKB	914x305x201	200.9	903	303.3	256	15.1	20.2	19.1	824.4	7.51	54.6	325254	9423
UKB	838x292x226	226.5	850.9	293.8	289	16.1	26.8	17.8	761.7	5.48	47.3	339704	11360
UKB	838x292x194	193.8	840.7	292.4	247	14.7	21.7	17.8	761.7	6.74	51.8	279175	9066
UKB	838x292x176	175.9	834.9	291.7	224	14	18.8	17.8	761.7	7.76	54.4	246021	7799
UKB	762x267x197	196.8	769.8	268	251	15.6	25.4	16.5	686	5.28	44	239957	8175
