	Section Designation		Mass	Radius		Area	Distance	Second Moment of Area			Radius of Gyration			Elastic	Torsional	Equivalent
			per			of	to							Modulus	Constant	Slenderness
	Size	Thickness	Metre	Root	Toe	 Section	Centre of	Axis	Axis	Axis	Axis	Axis	Axis	Axis		Coefficient
							Gravity	"x-x,y-y"	u-u	v-v	"x-x,y-y"	u-u	v-v	"x-x,y-y"		
	AxA 	t		r1	r2		c 								J	?a
	mm	mm	kg/m	mm	mm	cm2	cm	cm4	cm4	cm4	cm	cm	cm	cm3	cm4	
UKA	200x200	24	71.1	18.0	9.0	90.6	5.84	3331	5280	1380	6.06	7.64	3.90	235	182	2.50
		20	59.9	18.0	9.0	76.3	5.68	2851	4530	1170	6.11	7.70	3.92	199	107	3.05
		18	54.2	18.0	9.0	69.1	5.60	2600	4150	1050	6.13	7.75	3.90	181	78.9	3.43
		16	48.5	18.0	9.0	61.8	5.52	2342	3720	960	6.16	7.76	3.94	162	56.1	3.85
UKA	150x150	18 	40.1	16.0	8.0	51.0	4.37	1050	1680	440	4.54	5.73	2.92	98.8	58.6	2.48
		15	33.8	16.0	8.0	43.0	4.25	898	1430	370	4.57	5.76	2.93	83.5	34.6	3.01
		12	27.3	16.0	8.0	34.8	4.12	737	1170	303	4.60	5.80	2.95	67.8	18.2	3.77
		10	23.0	16.0	8.0	29.3	4.03	624	990	258	4.62	5.82	2.97	56.9	10.8	4.51
UKA	120x120	15	26.6	13.0	6.5	33.9	3.51	445	710	186	3.62	4.57	2.34	52.4	27.0	2.37
		12	21.6	13.0	6.5	27.5	3.40	368	584	152	3.65	4.60	2.35	42.7	14.2	2.99
		10	18.2	13.0	6.5	23.2	3.31	313	497	129	3.67	4.63	2.36	36.0	8.41	3.61
		8 	14.7	13.0	6.5	18.7	3.23	256	411	107	3.69	4.67	2.38	29.1	4.44	4.56
UKA	100x100	15	21.9	12.0	6.0	27.9	3.02	249	395	105	2.98	3.76	1.94	35.6	22.30	1.92
		12	17.8	12.0	6.0	22.7	2.90	207	328	85.7	3.02	3.80	1.94	29.1	11.80	2.44
		10	15.0	12.0	6.0	19.2	2.82	177	280	73.0	3.04	3.83	1.95	24.6	6.97	2.94
		8	12.2	12.0	6.0	15.5	2.74	145	230	59.9	3.06	3.85	1.96	20.0	3.68	3.70
UKA	90x90	12	15.9	11.0	5.5	20.3	2.66	148	235	62.0	2.70	3.40	1.75	23.4	10.46	2.17
		10	13.4	11.0	5.5	17.1	2.58	127	201	52.6	2.72	3.42	1.75	19.8	6.20	2.64
		8	10.9	11.0	5.5	13.9	2.50	104	166	43.1	2.74	3.45	1.76	16.1	3.28	3.33
		7	9.6	11.0	5.5	12.2	2.45	92.6	147	38.3	2.75	3.46	1.77	14.1	2.24	3.80
UKA	80x80	10	11.9	10.0	5.0	15.1	2.34	87.5	139.0	36.4	2.41	3.03	1.55	15.4	5.45	2.33
		8	9.63	10.0	5.0	12.3	2.26	72.2	115.0	29.9	2.43	3.06	1.56	12.6	2.88	2.94
UKA	75x75	8	8.99	9.00	4.5	1.4	2.14	59.10	93.80	24.5	2.27	2.86	1.46	11.0	2.65	2.76
		6	6.85	9.00	4.5	8.73	2.05	45.80	72.70	18.9	2.29	2.89	1.47	8.41	1.17	3.70
UKA	70x70	7	7.38	9.00	4.5	9.40	1.97	42.30	67.10	17.5	2.12	2.67	1.36	8.41	1.69	2.92
		6	6.38	9.00	4.5	8.13	1.93	36.90	58.50	15.3	2.13	2.68	1.37	7.27	1.09	3.41
UKA	65x65	7	6.83	9.00	4.5	8.73	2.05	33.40	53.00	13.8	1.96	2.47	1.26	7.18	1.58	2.67
UKA	60x60	8	7.09	8.00	4.0	9.03	1.77	29.20	46.10	12.2	1.80	2.26	1.16	6.89	2.09	2.14
		6	5.42	8.00	4.0	6.91	1.69	22.80	36.10	9.44	1.82	2.29	1.17	5.29	0.922	2.90
		5	4.57	8.00	4.0	5.82	1.64	19.40	30.70	8.03	1.82	2.30	1.17	4.45	0.550	3.48
UKA	50x50	6	4.47	7.00	3.5	5.69	1.45	12.80	20.30	5.34	1.50	1.89	0.968	3.61	0.755	2.38
		5	3.77	7.00	3.5	4.80	1.40	11.00	17.40	4.55	1.51	1.90	0.973	3.05	0.450	2.88
		4	3.06	7.00	3.5	3.89	1.36	8.97	14.20	3.73	1.52	1.91	0.979	2.46	0.240	3.57
UKA	45x45	5	3.06	7.00	3.5	3.90	1.25	7.14	11.40	2.94	1.35	1.71	0.870	2.20	0.304	2.84
UKA	40x40	5	2.97	6.00	3.0	3.79	1.16	5.43	8.60	2.26	1.20	1.51	0.773	1.91	0.352	2.26
		4	2.42	6.00	3.0	3.08	1.12	4.47	7.09	1.86	1.21	1.52	0.777	1.55	0.188	2.83
UKA	35x35	4	2.09	5.00	2.5	2.67	1.00	2.95	4.68	1.23	1.05	1.32	0.678	1.18	0.158	2.50
UKA	30x30	4	1.78	5.00	2.5	2.27	0.878	1.80	2.85	0.754	0.89	1.12	0.577	0.850	0.137	2.07
		3	1.36	5.00	2.5	1.74	0.835	1.40	2.22	0.585	0.90	1.13	0.581	0.649	0.0613	2.75
