	Section	Mass	Depth	Width	Area	Thickness		Distance	Root	Depth	Radius for		Second Moment	
	Designation	per	of	of	of Section				Radius	between	Local Buckling		of Area	
	Serial Size	Metre	Section	Section		Web	Flange			Fillets	Flange	Web	Axis	Axis
													x-x	y-y
			D	B	A 	t	T	Cy	r	d	b / T	d / t		
		kg/m	mm	mm	cm2	mm	mm	cm	mm	mm			cm4	cm4
UKPFC	430 x 100 x 64	64.4	430	100	82.1	11	19	2.6	15	362	5.26	32.9	21900	722
UKPFC	380 x 100 x 54	54	380	100	68.7	9.5	17.5	2.8	15	315	5.71	33.2	15000	643
UKPFC	300 x 100 x 46	45.5	300	100	58	9	16.5	3.1	15	237	6.06	26.3	8230	568
UKPFC	300 x 90 x 41	41.4	300	90	52.7	9	15.5	2.6	12	245	5.81	27.2	7220	404
UKPFC	260 x 90 x 35	34.8	260	90	44.4	8	14	2.7	12	208	6.43	26	4730	353
UKPFC	260 x 75 x 28	27.6	260	75	35.1	7	12	2.1	12	212	6.25	30.3	3620	185
UKPFC	230 x 90 x 32	32.2	230	90	41	7.5	14	2.9	12	178	6.43	23.7	3520	334
UKPFC	230 x 75 x 26	25.7	230	75	32.7	6.5	12.5	2.3	12	181	6	27.8	2750	181
UKPFC	200 x 90 x 30	29.7	200	90	37.9	7	14	3.1	12	148	6.43	21.1	2520	314
UKPFC	200 x 75 x 23	23.4	200	75	29.9	6.5	12.5	2.5	12	151	6	25.2	1960	170
UKPFC	180 x 90 x 26	26.1	180	90	33.2	6.5	12.5	3.2	12	131	7.2	20.2	1820	277
UKPFC	180 x 75 x 20	20.3	180	75	25.9	6	10.5	2.4	12	135	7.14	22.5	1370	146
UKPFC	150 x 90 x 24	23.9	150	90	30.4	6.5	12	3.3	12	102	7.5	15.7	160	253
UKPFC	150 x 75 x 18	17.9	150	75	22.8	5.5	10	2.6	12	106	7.5	19.3	861	131
UKPFC	125 x 65 x 15	14.8	125	65	18.8	5.5	9.5	2.3	12	82	6.84	14.9	483	80
UKPFC	100 x 50 x 10	10.2	100	50	13	5	8.5	1.7	9	65	5.88	13	208	32.3
