Design and Strength Test Requirements of Concrete Pipes of Class NP3 - Reinforced			
                   Concrete, Medium Duty, Non-pressure Pipes			
		
	                      
Internal Diameter   Longitudinal Reinforcements    Spirals Reinforcements     Ultimate 
    of Pipes      Mild Steel or Hard Drawn Steel     Hard Drawn Steel           Load   
      (mm)               (Kg/linear meter)          (Kg/linear meter)     (Kg/linear meter)
           
80                           0.59                        0.16                  19.50
100                          0.59                        0.22                  19.50
150                          0.59                        0.46                  20.55
200                          0.59                        0.81                  21.75
225                          0.59                        1.03                  22.20
250                          0.59                        1.24                  22.50
300                          0.78                        1.80                  23.25
350                          0.78                        2.95                  25.16
400                          0.78                        3.30                  28.74
450                          0.78                        3.79                  32.34
500                          0.78                        4.82                  35.93
600                          1.18                        7.01                  43.11
700                          1.18                        10.27                 50.30
800                          2.66                        13.04                 57.48
900                          2.66                        18.30                 64.67
1000                         2.66                        21.52                 71.85
1100                         2.66                        27.99                 79.00
1200                         3.55                        33.57                 86.22
1400                         3.55                        46.21                100.60
1600                         3.55                        65.40                114.96
1800                         9.36                        87.10                129.33
2000                         9.36                        97.90                143.70
2200                         9.36                       133.30                158.07
2400                        14.88                       146.61                172.44
2600                        14.88                       175.76                186.81
